State,% rural residents*,Rank order in % rural residents,No. in U.S. population with COPD†,% (95% CI)§,No. of Medicare hospitalizations¶,"Rate per 1,000 (95% CI)¶",No. of deaths,"Rate per 100,000 (95% CI)**"
Oklahoma,13.9,13,"255,000",8.2 (7.4−9.1),"5,563",12.6 (12.3−12.9),"2,863",64.3 (61.9−66.7)
Oregon,2.4,34,"174,000",5.1 (4.5−5.8),"2,442",7.6 (7.3−7.9),"2,037",40.7 (38.9−42.5)
Pennsylvania,3.2,33,"701,000",6.2 (5.5−7.0),"17,795",14.9 (14.7−15.2),"6,457",36.7 (35.8−37.6)
Rhode Island,0,43,"52,000",5.7 (4.9−6.5),"1,435",15.2 (14.4−16.0),498,35.8 (32.6−39.0)
South Carolina,6.3,25,"272,000",6.7 (6.1−7.3),"5,666",10.0 (9.7−10.2),"2,828",48.5 (46.6−50.3)
South Dakota,25.4,6,"36,000",5.2 (4.4−6.1),976,9.4 (8.8−10.0),488,44.0 (40.0−47.9)
Tennessee,9.8,19,"486,000",8.9 (8.0−10.0),"9,875",15.7 (15.3−16.0),"4,151",53.7 (52.1−55.4)
Texas,5.1,27,"1,032,000",5.1 (4.6−5.7),"22,975",11.7 (11.5−11.9),"9,939",40.2 (39.4−41.0)
Utah,4.8,28,"75,000",3.8 (3.4−4.3),683,3.7 (3.4−4.0),770,32.3 (30.0−34.6)
Vermont,26.1,5,"31,000",5.6 (4.9−6.3),660,6.9 (6.4−7.5),345,41.0 (36.6−45.4)
Virginia,9.3,20,"374,000",5.5 (5.0−6.0),"7,248",8.1 (7.9−8.2),"3,258",35.8 (34.6−37.1)
Washington,2.2,35,"335,000",5.8 (5.3−6.3),"3,608",5.4 (5.3−5.6),"3,016",37.9 (36.5−39.3)
West Virginia,21.9,10,"194,000",12.0 (11.1−13.0),"4,388",19.7 (19.1−20.2),"1,597",63.1 (60.0−66.3)
Wisconsin,12.5,17,"209,000",4.2 (3.6−4.8),"5,179",10.3 (10.0−10.6),"2,761",38.1 (36.6−39.5)
Wyoming,27.4,3,"32,000",6.8 (5.9−7.9),570,7.7 (7.1−8.4),361,55.9 (50.0−61.7)
,,,,,,,,
